artist,genre
Ceylan,"turkish, arabesk, female vocalists, turkish arabesque, pop, dance, folk, Oriental, female vocals, turkish folk"
Aksan,
Skillibeng,"dancehall, reggae, jamaican, hip hop, jamaica, Hip-Hop, trap, funk_add_to_lidarr_batch_24"
"Bajofondo, Natalia Oreiro",
"Đĩa Than Hồng, Văn Mai Hương, Bùi Công Nam",
Residents de calle,"Hip-Hop, rap, puerto rico, dancehall"
Luis De,
"KMC, EnSecreto",
Rachel Yaron,
Prod. Dior,
El Hombrecito,spoken word
MALAPATA,
Sub Sonik,"techno, hardcore, Drum and bass, Acid, schranz, electronic, rock, hard techno, french, british"
$krrt Cobain,"Hip-Hop, rap, phonk, good, yes, southern rap, artists, All, underground hip-hop, underground rap"
Brandon Báez,
"Chitralekha Sen, DJ Shadow Dubai",
"RB Gujjar, KD",
John Spillane,irish
"B3nchMarQ, A-reece",
"Miliyah, Yoshida Brothers",
"MTJUNKER, Vincentas Baltaragis",
Зараза,"Hip-Hop, electronic, russian, rap, dance-hop, xyecoc, russian rap, ultra-dolboeb, edm hip-hop"
The Nūes,"pop, rock"
"Hamza El Fadly, Ily",
William Bell,"soul, stax, rhythm and blues, funk, Southern Soul, 60s, All, william bell, male vocalists, american"
Carlyle Fraser,"celtic, new age, relaxation, ethereal, Reflections"
"Bohdan Smoleń, Krzysztof Krawczyk",
Tone Stith,"rnb, soul, pop, new jersey, male soul vocalists, rhythm and blues, USA, funk_add_to_lidarr_batch_28"
Alex Lundberg,
Bunny Wailer,"reggae, roots reggae, dub, roots, Rasta, jamaica, jamaican, Bunny Wailer, roots and culture, 80s"
Gülşah Kömür,
Boogie dinero,"Sweden, rap"
bodea,
Terracotta,"new age, All"
"XOXO, Muharrem Ahmeti",
Alex Bruce,"pinoy hip-hop, OPM"
Fun[k]House,
"Aire Atlantica, Ameria",
The Royal Foundry,"indie, Canadian, cool hair, folk, coloured hair, synthfolk"
"Myssa More, Peekay, The Darkface",
"Vejle Boldklub, Malte Ebert",
Swallow The Sun,"doom metal, Death Doom Metal, death metal, finnish, metal, Melodic Death Metal, melodic doom metal, Melodic Death Doom Metal, death-doom metal, finland"
"Vianney, Mentissa",
"Vai e Vem, Alicia",
